four_hour_close_local,total_signals,win_rate_all_pct,win_rate_last_30m_pct,win_rate_last_1h_pct,win_rate_first_2h_pct
"2025-11-04 07:00:27",1,100.0,,,100.0
"2025-11-04 07:00:28",1,0.0,0.0,0.0,
"2025-11-04 07:00:29",1,0.0,,,
"2025-11-04 07:00:31",1,100.0,,,
"2025-11-04 07:00:32",1,0.0,,,0.0
"2025-11-04 07:00:47",1,0.0,,,0.0
"2025-11-04 11:00:04",1,100.0,,,
"2025-11-04 11:00:07",1,0.0,,,0.0
"2025-11-04 11:00:09",2,0.0,,,0.0
"2025-11-04 11:00:13",1,0.0,0.0,0.0,
"2025-11-04 11:00:14",1,0.0,0.0,0.0,
"2025-11-04 11:00:24",1,100.0,,,100.0
"2025-11-04 11:00:27",1,100.0,,,100.0
"2025-11-04 11:00:29",1,0.0,,,0.0
"2025-11-04 11:00:49",1,100.0,,,
"2025-11-04 11:00:50",1,0.0,,,0.0
"2025-11-04 11:00:52",1,0.0,0.0,0.0,
"2025-11-04 15:00:02",1,0.0,,,0.0
"2025-11-04 15:00:07",2,50.0,,,50.0
"2025-11-04 15:00:09",1,100.0,,,100.0
"2025-11-04 15:00:10",1,100.0,,,
"2025-11-04 15:00:19",1,100.0,,,100.0
"2025-11-04 15:00:20",1,100.0,,,100.0
"2025-11-04 15:00:24",1,0.0,0.0,0.0,
"2025-11-04 15:00:34",2,50.0,,,50.0
"2025-11-04 15:00:40",1,100.0,,,100.0
"2025-11-04 15:00:41",1,0.0,,,0.0
"2025-11-04 15:00:45",1,0.0,,,
"2025-11-04 15:00:48",1,100.0,,100.0,
"2025-11-04 15:00:49",5,40.0,,,50.0
"2025-11-04 15:00:50",1,100.0,,,100.0
"2025-11-04 15:00:52",1,0.0,,,
"2025-11-04 15:00:57",1,0.0,,,0.0
"2025-11-04 15:00:58",1,100.0,,,
"2025-11-04 19:00:22",3,33.33,,,0.0
"2025-11-04 19:00:23",1,100.0,,,100.0
"2025-11-04 19:00:24",1,0.0,,,0.0
"2025-11-04 19:00:35",1,100.0,,,
"2025-11-04 19:00:45",1,0.0,,,0.0
"2025-11-04 19:00:49",1,0.0,,,0.0
"2025-11-04 19:00:50",1,100.0,,,100.0
